school_name,conference,preseason_rank,national_title_odds,source,eligible_categories
Ohio State,Big Ten,1,500,DraftKings 2026-08-15,cfp
Georgia,SEC,2,600,FanDuel 2026-08-15,cfp
Texas,SEC,3,700,FanDuel 2026-08-15,cfp
Alabama,SEC,4,800,BetMGM 2026-08-15,cfp
Oregon,Big Ten,5,900,DraftKings 2026-08-15,cfp
Miami,ACC,6,1200,FanDuel 2026-08-15,cfp
Penn State,Big Ten,7,1400,DraftKings 2026-08-15,cfp
Notre Dame,Big Ten,8,1600,FanDuel 2026-08-15,cfp
Tennessee,SEC,9,2000,BetMGM 2026-08-15,cfp
Michigan,Big Ten,10,2500,FanDuel 2026-08-15,cfp
Ole Miss,SEC,11,3000,DraftKings 2026-08-15,cfp
Kansas State,Big 12,12,4000,FanDuel 2026-08-15,cfp
