athlete_name,school_name,position,odds,source,eligible_categories
Jeremiah Smith,Ohio State,WR,1000,FanDuel 2026-08-15,heisman
Dillon Gabriel,Oregon,QB,800,FanDuel 2026-08-15,heisman
Travis Hunter,Colorado,WR/CB,1200,DraftKings 2026-08-15,heisman
Arch Manning,Texas,QB,600,FanDuel 2026-08-15,heisman
Nico Iamaleava,Tennessee,QB,1500,FanDuel 2026-08-15,heisman
Tetairoa McMillan,Arizona,WR,2000,DraftKings 2026-08-15,heisman
Will Howard,Ohio State,QB,2500,BetMGM 2026-08-15,heisman
Ashton Jeanty,Boise State,RB,3000,FanDuel 2026-08-15,heisman
Quinn Ewers,Texas,QB,2200,DraftKings 2026-08-15,heisman
Michael Penix Jr.,Washington,QB,4000,FanDuel 2026-08-15,heisman
Harold Perkins Jr.,LSU,LB,5000,BetMGM 2026-08-15,heisman
Jordan Selmon,Oklahoma,DE,6000,DraftKings 2026-08-15,heisman
